OBJECTID,SITENAME,COMMSITEID,COMMTYPE,COMMSUBTYP,ACREAGE,LASTVISIT,DATA_METHD,DATA_SOURC,DATA_EQUIP,DATA_EDTR,DATA_DATE,ASSOCDATA,SPECIESDAT,COMMENTS,ELCODE,EONMBR,IS_QAQC,GPS_PDOP,GPS_HDOP,GPS_HRZPR,Group_legend,Centroid_X,Centroid_Y,COMLABEL,SHAPE_Length,SHAPE_Area
11,Manitook Lake Bogs,3,Poor Fen,Dwarf Shrub,1.14698809,,Aerial Photo Interpretation,CT 1990 Black and White Ortho Photo,Not Applicable,CT DEP NHS,,"Farmington Valley Biodiversity Project, 2002","Rhododendron canadense (dominant in places),Vaccinum oxycoccos,Kalmia polifolia;numerous dead Acer rubrum and Pinus strobus; Sphagnum present", ,CP2C2A0000,8,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,989078.42411452,919329.05206835,PF,917.125851170974,-49962.8016087031
12,Bingham Pond,0,Poor Fen,Dwarf Shrub,19.30943039,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,"Chamaedaphne calyculata-Picea mariana, Vacciniuim corymbosum-Rhododendron viscosum,", ,CP2C2A0000,32,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,805046.22196969,933998.45153527,PF,6696.35432570786,-841118.788127964
13,Addison Bog,0,Poor Fen,Shrub Thicket,3.9178129,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,Chamaedaphne calyculata -  Picea mariana community (possibly), ,CP2C2A0000,22,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1048908.99113294,825367.60449293,PF,2161.39572043505,-170659.930302668
14,Horse Pond Bog,0,Poor Fen,Shrub Thicket,0.38798877,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CP2C2A0000,36,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1136753.90435353,729773.64968384,PF,906.412738972583,-16900.791182071
15,Clark Pond,0,Poor Fen,Dwarf Shrub,10.39009537,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CP2C2A0000,15,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,848257.59223969,856659.8831156,PF,6877.04941430371,-452592.554604688
16,Clayville Pond,0,Poor Fen,Dwarf Shrub,11.44550391,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , Chamaedaphne types with cedar,CP2C2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1213952.65776411,788061.36611343,PF,6053.72596984602,-498566.15072341
17,Covey Road Bog,0,Poor Fen,Shrub Thicket,4.861916,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,"Chamaedaphne calyculata-Picea mariana community (dominant vegetation type); Vaccinium corymbosum-Rhododendron viscosum community",interspersed w/ dwarf shrub,CP2C2A0000,16,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,940333.57245744,844137.0813896,PF,1930.2594749274,-211785.061140744
18,Jude Lane Bog,0,Poor Fen,Dwarf Shrub,0.92897093,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,"Chamaedaphne calyculata-Picea mariana comm;Chamaedaphne calyculata-Rhynchospora alba comm;Vaccinium corymbosum/Rhododendron viscosum comm (Nemopanthus dominant);Gaylussacia dumosa dwarf shrublnds", ,CP2C2A0000,24,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,953908.37207944,781572.35678176,PF,883.703135109143,-40465.9740184886
19,Tobey Pond,0,Poor Fen,Dwarf Shrub,0.23282366,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,"Chamaedaphne calyculata-Picea mariana community; Vaccinium corymbosum-Rhododendron viscosum community", ,CP2C2A0000,1,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,870762.15024885,917840.09277594,PF,525.250128891072,-10141.7990605525
20,Morris Road,0,Poor Fen,Dwarf Shrub,5.03984428,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,Chamaedaphne calyculata - Picea mariana community, ,CP2C2A0000,18,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1053075.29119928,879638.3095996,PF,1932.4312507219,-219535.617252201
21,Morse Meadow Pond,0,Poor Fen,Dwarf Shrub,20.02341902,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,"Nymphaea odorata hydomorphic rooted vegetation;Typha latifolia;Rhynchospora alba/Sphagnum cuspidatum comm;Vaccinium corymbosum-Rhododendron viscosum comm;Chamaedaphne calyculata-Rhynchospora alba comm","northern portion possible medium fen, atlantic white cedar scattered in eastern portion",CP2C2A0000,13,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1173234.61059144,912970.8925406,PF,5385.9683646152,-872220.132927533
22,Taylor Brook Bog,0,Poor Fen,Dwarf Shrub,2.55580507,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,"Chamaedaphne calyculata-Picea mariana,Chamaedaphne calyculata-Rhynchospora alba comm;Chamaedaphne calyculata-Picea mariana comm;Rhynchospora alba/Sphagnum cuspidatum comm;Decodon verticillatus semi-perm flooded shrblnds", ,CP2C2A0000,6,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,902986.31053793,881222.23294094,PF,2073.16985533265,-111330.869230667
23,West Willington Bog,0,Poor Fen,Shrub Thicket,2.73055093,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,"Chamaedaphne calyculata - Picea mariana community; Vaccinium corymbosum/Rhododendron viscosum", ,CP2C2A0000,11,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1123994.66215552,886232.75769677,PF,2452.86869223042,-118942.798836818
24,DOT Bog,0,Poor Fen,Shrub Thicket,1.5709975,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,Vaccinium corymbosum-Rhododendron viscosum Community,restoration initiated by DOT in 2006,CP2C2A0000,38,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,980208.70825819,851829.73693601,PF,1164.10128610272,-68432.6512692166
25,Mohawk Mountain Bog,0,Poor Fen,Saturated Woodland,7.7443597,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,"Picea mariana/Kalmia angustifolia community (dominant vegetation type); Rhynchospora alba/Sphagnum cuspidatum community; Vaccinium corymbosum-Rhododendron viscosum community; Tsuga canadensis seasonally flooded forests",Black Spruce,CP2C2A0000,14,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,849758.57053694,864701.30404061,PF,2852.42664937364,-337344.308814444
26,Packer Road,0,Acidic Atlantic White Cedar Swamp,Cedar Swamp,2.69380599,2008/11/03 00:00:00+00,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CP2B2A3000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,1216664.23206536,802229.51855135,AAWCS,1451.60157602318,-117342.189165639
27,Ruby Road Bog,1,Poor Fen,Shrub Thicket,6.72835808,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,Chamaedaphne calyculata-Picea mariana community, ,CP2C2A0000,12,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1131780.54454961,882782.7816571,PF,4283.08778414606,-293087.278299407
28,Ruby Road Bog,2,Poor Fen,Dwarf Shrub,0.37969239,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , Vaccinium, ,CP2C2A0000,12,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1131417.10761245,882176.96134643,PF,1228.58080870352,-16539.40088046
29,Towantic Pond Bog,2,Poor Fen,Shrub Thicket,7.12337683,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CP2C2A0000,28,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,901260.62009169,734472.1826096,PF,2676.94693940246,-310294.294780733
30,Tamarack Swamp,0,Poor Fen,Dwarf Shrub,0.71224116,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,"Chamaedaphne calyculata-Picea mariana, Vacciniuim corymbosum-Rhododendron viscosum,", ,CP2C2A0000,25,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,966244.65449343,780400.99593551,PF,851.724193615889,-31025.2249682076
31,Strong Road,0,Poor Fen,Dwarf Shrub,0.02534655,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,"Chamaedaphne calyculata-Picea mariana community (P.mariana not present here); Nymphaea odorata hydromorphic rooted vegetation; Vaccinium corymbosum/Rhododendron viscosum community", ,CP2C2A0000,19,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1046885.22779202,866611.07056227,PF,274.086365968756,-1104.09581007576
32,Sugar Hollow,0,Poor Fen,Shrub Thicket,3.63958129,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CP2C2A0000,30,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,802950.64053094,688222.75706401,PF,2013.43027345984,-158540.161058635
33,Long Pond,3,Poor Fen,Shrub Thicket,3.25184493,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CP2C2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1252005.05606861,932928.20334768,PF,3063.32053992728,-141650.365308529
34,Hampton Reservoir,0,Poor Fen,Shrub Thicket,36.78930324,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,Chamaedaphne calyculata / Carex utriculata community,tall Chamaedaphne,CP2C2A0000,20,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1189006.13055752,864277.36689634,PF,8125.55464758587,-1602542.04932763
35,Packer Road,3,Poor Fen,Dwarf Shrub,1.92027768,2008/11/03 00:00:00+00,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2008/11/03 00:00:00+00, , woolgrass,"tussock forming sedge; sm shrub patch in center",CP3A2A1000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1217022.76612519,800933.62120877,PF,1308.9961117421,-83647.2959276332
36,Tetreault Pond,0,Poor Fen,Shrub Thicket,21.21861999,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CP2C2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1245989.26790336,852608.11234776,PF,6316.97607353242,-924283.086977017
37,Quanduck,0,Poor Fen,Dwarf Shrub,53.57777209,2008/11/03 00:00:00+00,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2008/11/03 00:00:00+00, , ,,CP3A2A1000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1259939.93652427,846757.00889252,PF,17431.6037292803,-2333847.7524652
38,Shaker Pines,0,Poor Fen,Dwarf Shrub,0.20858593,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , ,"impacted by stormwater discharge, may not be viable",CP2C2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1056542.39745402,936584.54970951,PF,406.279975417167,-9086.00320474602
39,Hopeville Bog,0,Poor Fen,Shrub Thicket,9.46664971,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CP2C2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1228769.03987668,780721.99332502,PF,3040.86209108641,-412367.26177237
40,Pachaug State Forest ,0,Poor Fen,Dwarf Shrub,2.16583608,2009/03/13 00:00:00+00,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2009/03/13 00:00:00+00,Not Applicable,"Chamaedaphne calyculata, Kalmia angustifolia", ,CP2C2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1261984.18702894,759559.62521676,PF,1238.52896718406,-94343.819858615
41,Route 14/14a/Gibson Hill Rd,0,Poor Fen,Dwarf Shrub,0.60354682,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CP2C2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1261547.57700978,816641.33782477,PF,653.380674481486,-26290.4995216344
42,Stone Hill Road,0,Medium Fen,Shrub Thicket,1.57955836,2008/10/31 00:00:00+00,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2008/10/31 00:00:00+00, ,"mostly Vaccinium corymbosum w/ Ilex verticullata, Clethra alnifolia.  small shrubless area w/ sedge: Dulichium arundinaceum, Juncus spp.",,CP3A2A1000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1233983.79125819,789636.53258252,MF,1176.96425161757,-68805.562424348
43,Hell Hollow Rd,,Poor Fen,Shrub Thicket,2.86216415,2008/10/31 00:00:00+00,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2008/10/31 00:00:00+00,Not Applicable,"to N:Chamaedaphne calyculata,Clethra alnifolia. at edge:Vaccinium corymbosum,Ilax verticillata,Lyonia lisgustrina. to W:sm Acer rubrum in center,Royal fern, abundant Vaccinium corymbosum. to SW: Sedge & Juncus, Chamaedaphne calyculata",dwarf shrub in SW,CP3A2A1000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1237565.45633894,791056.80434827,PF,2101.61541616149,-124675.870384296
44,Perry Pond Bog,0,Medium Fen,Sedge,2.64986134,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,"Dom:Carex comosa,Dulichium arundinaceum, Juncus sp.,Carex utriculata,Scirpus cyperinus, Vaccinium macrocarpa, Sphagnum mat; Vaccinium corymbosum, Clethra alnifolia, Lyonia ligustrina,Ilex verticulata",on sand and gravel,CP3A2A1000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1233341.5520571,934584.69019219,MF,2214.57355742158,-115427.959976266
45,Pachaug State Forest,0,Poor Fen,Shrub Thicket,5.03727371,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CP2C2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1260631.3911781,763348.36567077,PF,3010.8828865494,-219423.643031058
46,Plainfield Cemetary,1,Poor Fen,Shrub Thicket,28.50792366,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , ,tall Chamaedaphne,CP2C2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1225445.24960828,811390.38474401,PF,5607.01890894368,-1241805.1546823
47,Benedict Pond,12,Poor Fen,Dwarf Shrub,5.28312875,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CP2C2A0000,21,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,888607.84487235,935096.49887985,PF,2446.50383184405,-230133.088393562
48,Benedict Pond,5,Poor Fen,Dwarf Shrub,3.87430107,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CP2C2A0000,21,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,888612.28613644,935762.51526434,PF,1718.93193490044,-168764.554686523
49,Benedict Pond,1,Poor Fen,Dwarf Shrub,2.91321052,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,"Nuphar variegatum-Nymphaea odorata community; Chamaedaphne calyculata-Picea mariana community", ,CP2C2A0000,21,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,887661.21028269,937631.80056777,PF,3916.51853042224,-126899.450275501
50,Benedict Pond,4,Poor Fen,Dwarf Shrub,0.93411947,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CP2C2A0000,21,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,888448.17196336,936055.79683001,PF,1015.37295031613,-40690.2444315584
51,Benedict Pond,6,Poor Fen,Dwarf Shrub,0.5616653,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CP2C2A0000,21,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,888849.43658077,935482.62376377,PF,998.170906262314,-24466.1407029956
52,Benedict Pond,10,Poor Fen,Dwarf Shrub,0.38290296,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CP2C2A0000,21,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,889120.41143252,935448.41746735,PF,804.234420811445,-16679.2531460047
53,Benedict Pond,2,Poor Fen,Dwarf Shrub,0.28448204,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,"Nuphar variegatum-Nymphaea odorata community; Chamaedaphne calyculata-Picea mariana community", ,CP2C2A0000,21,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,887582.17763236,937562.98640093,PF,728.164033863521,-12392.0379280602
54,Benedict Pond,7,Poor Fen,Dwarf Shrub,0.19611326,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CP2C2A0000,21,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,889052.27869477,935682.20472943,PF,370.929931407012,-8542.69378858325
55,Benedict Pond,11,Poor Fen,Dwarf Shrub,0.1611749,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CP2C2A0000,21,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,889325.89264886,935531.08134402,PF,402.198092373329,-7020.77878869737
56,Benedict Pond,8,Poor Fen,Dwarf Shrub,0.11302964,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CP2C2A0000,21,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,889036.33810986,935787.16416518,PF,335.137409924491,-4923.57149398157
57,Cedar Lake,1,Acidic Atlantic White Cedar Swamp,Cedar/Hardwood,44.5103476,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,"mostly Acer rubrum;understory mostly Clethra alnifolia;Vaccinium corymbosum;Phragmites australis in SW corner;Berberis thungergii, Euonymus alata at SW edge in upland","several sickly/dead cedars in middle SW;5-6 healthy young cedars at SW end on slightly higher ground;drained beaver pond",CP2B2A3000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,1124666.53220285,713849.45548243,AAWCS,10681.8887244201,-1938870.74179045
58,Obwebetuck Hill,1,Dry Subacidic Forest,Ash/Hickory Glade,4.79279613,,GPS Field Data,Not Applicable,GPS Trimble GeoExplorer3,CT DEP NHS,, , ,"notable community due to geography; somewhat transitional",CT2G4A1000,0,True,Unavailable,Unavailable,Unavailable,Terrestrial Forested,1154287.63503402,807881.24740535,DSF,2142.6845973238,-208774.199616538
59,Obwebetuck Hill,2,Dry Subacidic Forest,Ash/Hickory Glade,1.05613973,,GPS Field Data,Not Applicable,GPS Trimble GeoExplorer3,CT DEP NHS,, , ,"notable community due to geography; somewhat transitional",CT2G4A1000,0,True,Unavailable,Unavailable,Unavailable,Terrestrial Forested,1154501.11000077,808386.7985596,DSF,987.513910518827,-46005.4470298359
60,Killingworth Cedar Swamp,0,Acidic Atlantic White Cedar Swamp,Cedar/Hardwood,41.78250508,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CP2B2A3000,21,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,1050004.84195961,682956.97822551,AAWCS,6516.33859265722,-1820045.92163106
61,Bokum Road,1,Acidic Atlantic White Cedar Swamp,Cedar Swamp,1.86590123,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,"Clethra alnifolia @ southern edge;several small cedars SW of polygon;microstegium in bordering yard to west","nearly pure stand of cedar;some red maple mixed in canopy;",CP2B2A3000,20,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,1098746.72610295,677485.83365601,AAWCS,1139.15592155336,-81278.6575812637
62,Thorpe Mountain,0,Acidic Rocky Summit Outcrop,Scrub Oak,0.24969926,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , ,"scrub oak scrub - deciduous woodland complex; polygon boundary accuracy lower than norm due to poor 2004 digital image",CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,801330.20118652,920974.4493681,AcRSO,508.451897016519,-10876.9001534661
63,Thorpe Mountain,0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,0.08480432,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , ,"bald , maybe in complex with scrub oak scrub; polygon boundary accuracy lower than norm due to poor 2004 digital image",CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,801337.53548944,921769.58885394,AcRSO,235.691044699125,-3694.07635125613
